number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_layers,state
0,1.3034808365411537,2026-02-26 11:43:27.746954,2026-02-26 12:46:54.985632,0 days 01:03:27.238678,8,0.39279757672456206,128,0.005399484409787433,4,COMPLETE
1,0.6372962794331617,2026-02-26 12:46:54.987902,2026-02-26 13:34:54.191445,0 days 00:47:59.203543,8,0.10823379771832098,192,0.00023270677083837802,3,COMPLETE
2,0.6207819044589996,2026-02-26 13:34:54.193854,2026-02-26 14:00:26.565193,0 days 00:25:32.371339,16,0.2727780074568463,128,0.0005404103854647331,3,COMPLETE
3,0.8473569670388865,2026-02-26 14:00:26.566236,2026-02-26 14:43:37.211190,0 days 00:43:10.644954,64,0.1798695128633439,160,0.00021930485556643703,4,COMPLETE
4,0.8712484054613945,2026-02-26 14:43:37.213338,2026-02-26 15:08:41.639601,0 days 00:25:04.426263,8,0.4862528132298238,64,0.0007591104805282694,4,COMPLETE
5,0.6647213205348613,2026-02-26 15:08:41.640716,2026-02-26 15:23:57.822464,0 days 00:15:16.181748,8,0.11375540844608736,64,0.001096821720752952,2,COMPLETE
6,inf,2026-02-26 15:23:57.823296,2026-02-26 15:35:50.501277,0 days 00:11:52.677981,16,0.48783385110582345,160,0.0069782812651260325,1,COMPLETE
7,inf,2026-02-26 15:35:50.502318,2026-02-26 15:38:27.361336,0 days 00:02:36.859018,64,0.11809091556421523,64,0.0005170191786366995,1,COMPLETE
8,0.8127929329872131,2026-02-26 15:38:27.361871,2026-02-26 16:05:17.704388,0 days 00:26:50.342517,32,0.15636968998990508,96,0.00024970737145052745,3,COMPLETE
9,inf,2026-02-26 16:05:17.705412,2026-02-26 16:23:43.954637,0 days 00:18:26.249225,16,0.38274293753904687,64,0.0001705053926026929,4,COMPLETE
